fichier;k;arrondi simple;arrondi complexe;heuristique
ga250a-3;1021;60.0;61.0;73.0
ga250a-3;1022;59.0;58.0;75.0
ga250a-3;1023;54.0;55.0;73.0
ga250a-3;1024;53.0;57.0;73.0
ga250a-3;1025;54.0;49.0;70.0
ga250a-3;1026;51.0;53.0;68.0
ga250a-3;1027;53.0;54.0;69.0
ga250a-3;1028;53.0;51.0;72.0
ga250a-3;1029;50.0;51.0;66.0
ga250a-3;1030;49.0;55.0;66.0
ga250a-3;1031;50.0;55.0;63.0
ga250a-3;1128;21.0;21.0;24.0
ga250a-3;1225;11.0;15.0;14.0
ga250a-3;1322;9.0;11.0;11.0
ga250a-3;1419;7.0;8.0;9.0
ga250a-3;1516;6.0;7.0;7.0
ga250a-3;1613;5.0;5.0;6.0
ga250a-3;1710;6.0;5.0;5.0
ga250a-3;1807;3.0;3.0;4.0
ga250a-3;1904;3.0;2.0;3.0
ga250a-4;1028;8.0;53.0;63.0
ga250a-4;1029;5.0;54.0;66.0
ga250a-4;1030;42.0;50.0;66.0
ga250a-4;1031;50.0;52.0;62.0
ga250a-4;1032;49.0;52.0;64.0
ga250a-4;1033;49.0;45.0;64.0
ga250a-4;1034;52.0;52.0;64.0
ga250a-4;1035;47.0;50.0;60.0
ga250a-4;1036;45.0;46.0;60.0
ga250a-4;1037;46.0;48.0;60.0
ga250a-4;1038;46.0;42.0;58.0
ga250a-4;1134;19.0;19.0;25.0
ga250a-4;1230;12.0;13.0;16.0
ga250a-4;1326;8.0;9.0;11.0
ga250a-4;1422;6.0;8.0;7.0
ga250a-4;1518;6.0;5.0;6.0
ga250a-4;1614;6.0;5.0;5.0
ga250a-4;1710;4.0;3.0;4.0
ga250a-4;1806;3.0;4.0;3.0
ga250a-4;1902;3.0;3.0;3.0
ga250a-4;1998;1.0;1.0;1.0
ga250a-5;1021;63.0;62.0;83.0
ga250a-5;1022;60.0;59.0;79.0
ga250a-5;1023;61.0;58.0;74.0
ga250a-5;1024;57.0;56.0;71.0
ga250a-5;1025;57.0;57.0;73.0
ga250a-5;1026;59.0;57.0;67.0
ga250a-5;1027;54.0;62.0;62.0
ga250a-5;1028;50.0;58.0;60.0
ga250a-5;1029;51.0;51.0;62.0
ga250a-5;1030;51.0;51.0;67.0
ga250a-5;1031;47.0;51.0;65.0
ga250a-5;1128;20.0;18.0;23.0
ga250a-5;1225;13.0;14.0;18.0
ga250a-5;1322;11.0;10.0;9.0
ga250a-5;1419;9.0;6.0;9.0
ga250a-5;1516;8.0;6.0;6.0
ga250a-5;1613;5.0;5.0;5.0
ga250a-5;1710;4.0;4.0;5.0
ga250a-5;1807;3.0;4.0;4.0
ga250a-5;1904;2.0;2.0;3.0
gs250a-3;1022;54.0;56.0;74.0
gs250a-3;1023;56.0;55.0;71.0
gs250a-3;1024;55.0;57.0;67.0
gs250a-3;1025;50.0;55.0;68.0
