fichier,p,temps,OPT
dj38.tsp,5,0.12800002098083496,413
dj38.tsp,10,0.0969998836517334,296
dj38.tsp,20,0.06500005722045898,157
lu980.tsp,5,2.821000099182129,193
lu980.tsp,10,2.184000015258789,121
lu980.tsp,20,3.1409997940063477,84
lu980.tsp,50,2.7790000438690186,50
mu1979.tsp,5,22.06599998474121,1738
mu1979.tsp,10,43.96399998664856,1162
mu1979.tsp,20,54.35199999809265,752
mu1979.tsp,50,22.842000007629395,299
qa194.tsp,5,0.7380001544952393,179
qa194.tsp,10,0.6949999332427979,170
qa194.tsp,20,0.6080000400543213,125
qa194.tsp,50,0.5789999961853027,69
rw1621.tsp,5,19.355000019073486,414
rw1621.tsp,10,20.67300009727478,286
rw1621.tsp,20,15.52899980545044,186
rw1621.tsp,50,6.9700000286102295,111
uy734.tsp,5,4.990000009536743,1319
uy734.tsp,10,5.681999921798706,878
uy734.tsp,20,4.187999963760376,345
uy734.tsp,50,3.9850001335144043,337
wi29.tsp,5,0.14999985694885254,1670
wi29.tsp,10,0.1660001277923584,1108
wi29.tsp,20,0.14999985694885254,559
zi929.tsp,5,17.66100001335144,1803
zi929.tsp,10,13.02999997138977,1229
zi929.tsp,20,6.085000038146973,515
zi929.tsp,50,5.406000137329102,406
