fichier;p;temps;OPT
.txt;1;3.796000004;1978
ga250a-3.txt;2;9.118000031;1797
ga250a-3.txt;3;46.20599985;1E+12
ga250a-3.txt;4;32.25699997;1E+12
ga250a-3.txt;5;32.36100006;1E+12
ga250a-3.txt;6;32.48500013;1E+12
ga250a-3.txt;7;32.41999984;1E+12
ga250a-3.txt;8;32.23900008;1E+12
ga250a-3.txt;9;32.23000002;1E+12
ga250a-3.txt;10;32.37400007;1E+12
ga250a-4.txt;1;5.475000143;1978
ga250a-4.txt;2;11.52600002;1793
ga250a-4.txt;3;41.29199982;1E+12
ga250a-4.txt;4;32.91400003;1E+12
ga250a-4.txt;5;32.93499994;1E+12
ga250a-4.txt;6;32.93500018;1E+12
ga250a-4.txt;7;33.03699994;1E+12
ga250a-4.txt;8;37.65499997;1E+12
ga250a-4.txt;9;34.71399999;1E+12
ga250a-4.txt;10;33.99699998;1E+12
ga250a-5.txt;1;6.960999966;1979
ga250a-5.txt;2;15.85599995;1810
ga250a-5.txt;3;47.72800016;1E+12
ga250a-5.txt;4;33.05299997;1E+12
ga250a-5.txt;5;32.7190001;1E+12
ga250a-5.txt;6;32.77100015;1E+12
ga250a-5.txt;7;32.727;1E+12
ga250a-5.txt;8;32.79400015;1E+12
ga250a-5.txt;9;32.83500004;1E+12
ga250a-5.txt;10;33.74299979;1E+12
gs250a-3.txt;1;5.378999949;1969
gs250a-3.txt;2;12.47099996;1802
gs250a-3.txt;3;47.49099994;1E+12
gs250a-3.txt;4;32.83399987;1E+12
gs250a-3.txt;5;32.97000003;1E+12
gs250a-3.txt;6;32.95099998;1E+12
gs250a-3.txt;7;32.83099985;1E+12
gs250a-3.txt;8;32.85599995;1E+12
gs250a-3.txt;9;32.82200003;1E+12
gs250a-3.txt;10;32.83700013;1E+12
gs250a-5.txt;1;4.506000042;1976
gs250a-5.txt;2;11.43400002;1790
gs250a-5.txt;3;30.47200012;1E+12
gs250a-5.txt;4;32.46799994;1E+12
gs250a-5.txt;5;32.50600004;1E+12
gs250a-5.txt;6;32.49399996;1E+12
gs250a-5.txt;7;32.53100014;1E+12
gs250a-5.txt;8;32.87099981;1E+12
gs250a-5.txt;9;32.97100019;1E+12
gs250a-5.txt;10;33.08699989;1E+12
instA1.txt;1;6.006999969;30034
instA1.txt;2;6.000999928;30034
instA1.txt;3;5.821000099;30034
instA1.txt;4;5.784999847;30034
instA1.txt;5;5.845999956;30034
instA1.txt;6;5.724000216;30034
instA1.txt;7;7.106999874;30034
instA1.txt;8;6.183000088;30034
instA1.txt;9;6.802999973;30034
instA1.txt;10;6.069999933;30034
instA2.txt;1;31.99699998;1E+12
instA2.txt;2;32.37599993;1E+12
instA2.txt;3;30.45600009;1E+12
instA2.txt;4;31.9289999;1E+12
instA2.txt;5;30.26100016;1E+12
instA2.txt;6;32.53999996;1E+12
instA2.txt;7;31.71099997;1E+12
instA2.txt;8;31.52000022;1E+12
instA2.txt;9;30.80699992;1E+12
instA2.txt;10;30.41600013;1E+12
instA3.txt;1;5.007999897;30035
instA3.txt;2;5.218000174;30035
instA3.txt;3;5.11500001;30035
instA3.txt;4;5.03399992;30035
instA3.txt;5;4.903000116;30035
instA3.txt;6;5.161000013;30035
instA3.txt;7;4.820999861;30035
instA3.txt;8;4.945000172;30035
instA3.txt;9;5.007999897;30035
instA3.txt;10;5.046000004;30035
instC1.txt;1;33.20900011;1E+12
instC1.txt;2;33.53499985;1E+12
instC1.txt;3;33.90300012;1E+12
instC1.txt;4;35.49099994;1E+12
instC1.txt;5;32.87899995;1E+12
instC1.txt;6;32.85600019;1E+12
instC1.txt;7;33.1099999;1E+12
instC1.txt;8;33.71600008;1E+12
instC2.txt;1;33.54399991;1E+12
instC2.txt;2;34.06400013;1E+12
instC2.txt;3;33.37999988;1E+12
instC2.txt;4;33.66000009;1E+12
instC2.txt;5;34.21300006;1E+12
instC2.txt;6;34.64100003;1E+12
instC2.txt;7;34.7440002;1E+12
instC2.txt;8;34.18899989;1E+12
instC2.txt;9;34.49499989;1E+12
instC2.txt;10;34.49300003;1E+12
instC3.txt;1;32.0849998;1E+12
instC3.txt;2;32.76800013;1E+12
instC3.txt;3;32.33700013;1E+12
instC3.txt;4;32.45000005;1E+12
instC3.txt;5;33.84299994;1E+12
instC3.txt;6;35.71300006;1E+12
instC3.txt;7;32.16999984;1E+12
instC3.txt;8;32.52400017;1E+12
instC3.txt;9;32.34599996;1E+12
instC3.txt;10;32.68499994;1E+12
instRand_100_100_1.txt;1;0.398999929;28
instRand_100_100_1.txt;2;0.631000042;22
instRand_100_100_1.txt;3;0.549000025;16
instRand_100_100_1.txt;4;1.224999905;11
instRand_100_100_1.txt;5;1.504000187;9
instRand_100_100_1.txt;6;1.160999775;7
instRand_100_100_1.txt;7;1.282999992;6
instRand_100_100_1.txt;8;1.055000067;5
instRand_100_100_1.txt;9;1.207000017;4
instRand_100_100_1.txt;10;1.048000097;4
instRand_500_500.txt;1;30.24300003;1E+12
instRand_500_500.txt;2;30.21700001;1E+12
instRand_500_500.txt;3;30.23100019;1E+12
instRand_500_500.txt;4;30.23099995;1E+12
instRand_500_500.txt;5;30.25800014;1E+12
instRand_500_500.txt;6;30.28499985;1E+12
instRand_500_500.txt;7;30.22800016;1E+12
instRand_500_500.txt;8;30.21300006;1E+12
instRand_500_500.txt;9;30.23699999;1E+12
instRand_500_500.txt;10;30.25399995;1E+12
instRand_50_50_1.txt;1;0.073999882;27
instRand_50_50_1.txt;2;0.119999886;19
instRand_50_50_1.txt;3;0.150000095;14
instRand_50_50_1.txt;4;0.138999939;11
instRand_50_50_1.txt;5;0.107000113;7
instRand_50_50_1.txt;6;0.105000019;6
instRand_50_50_1.txt;7;0.089999914;5
instRand_50_50_1.txt;8;0.094000101;4
instRand_50_50_1.txt;9;0.072999954;3
instTest.txt;1;0.029999971;130
instTest.txt;2;0.02699995;100
ga250a-3.txt;20;32.30500007;1E+12
ga250a-3.txt;50;32.08100009;1E+12
ga250a-4.txt;20;32.92400002;1E+12
ga250a-5.txt;20;32.70000005;1E+12
ga250a-5.txt;50;32.74799991;1E+12
gs250a-3.txt;20;32.8440001;1E+12
gs250a-3.txt;50;32.86400008;1E+12
gs250a-5.txt;20;32.56599998;1E+12
gs250a-5.txt;50;32.56700015;1E+12
instRand_500_500.txt;20;30.20700002;1E+12
