fichier;p;temps;OPT
dj38.tsp;5;0.11300015449523926;415
dj38.tsp;10;0.048999786376953125;296
dj38.tsp;20;0.05300021171569824;157
lu980.tsp;5;1.871999979019165;193
lu980.tsp;10;1.678999900817871;124
lu980.tsp;20;2.993000030517578;84
lu980.tsp;50;3.5199999809265137;50
mu1979.tsp;5;15.299000024795532;1877
mu1979.tsp;10;18.94599986076355;1161
mu1979.tsp;20;14.229000091552734;751
mu1979.tsp;50;10.214999914169312;381
qa194.tsp;5;0.19499993324279785;321
qa194.tsp;10;0.17799997329711914;196
qa194.tsp;20;0.17400002479553223;127
qa194.tsp;50;0.12899994850158691;69
rw1621.tsp;5;5.8480000495910645;414
rw1621.tsp;10;5.075999975204468;285
rw1621.tsp;20;3.950000047683716;186
rw1621.tsp;50;4.2769999504089355;111
uy734.tsp;5;1.628000020980835;1318
uy734.tsp;10;1.5150001049041748;877
uy734.tsp;20;2.500999927520752;607
uy734.tsp;50;1.5529999732971191;366
wi29.tsp;5;0.06500005722045898;1670
wi29.tsp;10;0.05799984931945801;1108
wi29.tsp;20;0.05500006675720215;559
zi929.tsp;5;2.691999912261963;1802
zi929.tsp;10;2.4590001106262207;1215
zi929.tsp;20;1.8959999084472656;820
zi929.tsp;50;1.5270001888275146;486
