fichier;p;temps;LB*;UB*
ga250a-3.txt;1;3.757999897;1209;1999
ga250a-3.txt;2;4.726000071;1152;1970
ga250a-3.txt;3;39.31900001;1122;1969
ga250a-3.txt;4;39.20000005;1104;1816
ga250a-3.txt;5;47.727;1093;1610
ga250a-3.txt;6;52.97600007;1082;1568
ga250a-3.txt;7;74.3210001;1076;1524
ga250a-3.txt;8;85.63399982;1070;1519
ga250a-3.txt;9;112.312;1067;1446
ga250a-3.txt;10;122.322;-1;-1
ga250a-4.txt;1;2.665999889;1199;1996
ga250a-4.txt;2;4.302000046;1143;1906
ga250a-4.txt;3;45.44000006;1122;1881
ga250a-4.txt;4;43.89599991;1103;1798
ga250a-4.txt;5;48.26999998;1095;1693
ga250a-4.txt;6;63.54400015;1085;1634
ga250a-4.txt;7;31.88100004;-1;-1
ga250a-4.txt;8;91.18700004;1072;1505
ga250a-4.txt;9;85.83799982;-1;-1
ga250a-4.txt;10;68.98000002;-1;-1
ga250a-5.txt;1;2.606000185;1206;1995
ga250a-5.txt;2;4.069999933;1148;1964
ga250a-5.txt;3;60.86599994;1118;1878
ga250a-5.txt;4;98.45100021;1100;1831
ga250a-5.txt;5;68.15099978;1094;1781
ga250a-5.txt;6;54.7900002;1086;1688
ga250a-5.txt;7;62.69699979;1079;1508
ga250a-5.txt;8;89.56600022;1072;1568
ga250a-5.txt;9;125.6039999;1067;1433
ga250a-5.txt;10;31.89700007;-1;-1
gs250a-3.txt;1;4.062999964;1190;1999
gs250a-3.txt;2;5.394000053;1156;1951
gs250a-3.txt;3;44.63199997;1120;1880
gs250a-3.txt;4;54.4849999;1104;1728
gs250a-3.txt;5;54.85399985;1091;1730
gs250a-3.txt;6;31.72300005;-1;-1
gs250a-3.txt;7;60.22900009;1078;1529
gs250a-3.txt;8;89.05599999;1070;1470
gs250a-3.txt;9;119.6589999;1066;1510
gs250a-3.txt;10;135.983;-1;-1
gs250a-5.txt;1;3.579999924;1211;1999
gs250a-5.txt;2;5.125999928;1144;1970
gs250a-5.txt;3;54.87700009;1124;1791
gs250a-5.txt;4;85.93499994;1105;1734
gs250a-5.txt;5;64.25699997;1094;1679
gs250a-5.txt;6;70.95700002;1081;1649
gs250a-5.txt;7;104.431;1075;1550
gs250a-5.txt;8;110.359;1073;1500
gs250a-5.txt;9;107.53;1070;1399
gs250a-5.txt;10;121.8239999;1069;1358
instA1.txt;1;0.577000141;30034;30034
instA1.txt;2;0.611999989;30034;30034
instA1.txt;3;0.555000067;30034;30034
instA1.txt;4;0.683999777;30034;30034
instA1.txt;5;0.59800005;30034;30034
instA1.txt;6;0.546000004;4;30034
instA1.txt;7;0.525999784;4;30034
instA1.txt;8;0.667000055;4;30034
instA1.txt;9;0.229000092;3;30034
instA1.txt;10;0.210999966;3;30034
instA2.txt;1;0.772000074;30031;30031
instA2.txt;2;0.784999847;30031;30031
instA2.txt;3;0.811999798;30031;30031
instA2.txt;4;0.709000111;30031;30031
instA2.txt;5;0.785000086;30031;30031
instA2.txt;6;0.738999844;4;30031
instA2.txt;7;0.732999802;4;30031
instA2.txt;8;0.464999914;3;30031
instA2.txt;9;0.436000109;3;30031
instA2.txt;10;0.474999905;3;30031
instA3.txt;1;0.770999908;30035;30035
instA3.txt;2;0.792999983;30035;30035
instA3.txt;3;0.809999943;30035;30035
instA3.txt;4;0.788999796;30035;30035
instA3.txt;5;0.769999981;30035;30035
instA3.txt;6;0.776000023;4;30035
instA3.txt;7;0.726999998;4;30035
instA3.txt;8;0.494000196;3;30035
instA3.txt;9;0.467999935;3;30035
instA3.txt;10;0.514999866;3;30035
instC1.txt;1;0.83100009;30034;30034
instC1.txt;2;0.879999876;30034;30034
instC1.txt;3;0.870000124;30034;30034
instC1.txt;4;0.888000011;30034;30034
instC1.txt;5;0.968999863;30034;30034
instC1.txt;6;0.990999937;4;30034
instC1.txt;7;0.914000034;4;30034
instC1.txt;8;0.822999954;4;30034
instC2.txt;1;0.900000095;30031;30031
instC2.txt;2;0.734999895;30031;30031
instC2.txt;3;0.782000065;30031;30031
instC2.txt;4;0.81400013;30031;30031
instC2.txt;5;0.730000019;30031;30031
instC2.txt;6;0.681999922;4;30031
instC2.txt;7;0.874000072;4;30031
instC2.txt;8;0.799999952;4;30031
instC2.txt;9;0.394999981;3;30031
instC2.txt;10;0.376000166;3;30031
instC3.txt;1;1.000999928;30031;30031
instC3.txt;2;0.914999962;30031;30031
instC3.txt;3;1.167000055;30031;30031
instC3.txt;4;1.276000023;30031;30031
instC3.txt;5;1.071000099;30031;30031
instC3.txt;6;0.855000019;4;30031
instC3.txt;7;0.919999838;4;30031
instC3.txt;8;0.950000048;4;30031
instC3.txt;9;0.462000132;3;30031
instC3.txt;10;0.54399991;3;30031
instRand_100_100_1.txt;1;0.200999975;9;30
instRand_100_100_1.txt;2;0.437999964;6;25
instRand_100_100_1.txt;3;0.490999937;5;26
instRand_100_100_1.txt;4;0.483999968;4;23
instRand_100_100_1.txt;5;0.492000103;4;23
instRand_100_100_1.txt;6;0.359999895;3;14
instRand_100_100_1.txt;7;0.338999987;3;14
instRand_100_100_1.txt;8;0.400000095;3;14
instRand_100_100_1.txt;9;0.362999916;3;14
instRand_100_100_1.txt;10;0.367000103;3;14
instRand_500_500.txt;1;6.180999994;5;30
instRand_500_500.txt;2;34.63499999;-1;-1
instRand_500_500.txt;3;35.31299996;-1;-1
instRand_500_500.txt;4;37.22500014;-1;-1
instRand_500_500.txt;5;37.71200013;-1;-1
instRand_500_500.txt;6;37.39199996;-1;-1
instRand_500_500.txt;7;37.41899991;-1;-1
instRand_500_500.txt;8;34.83500004;-1;-1
instRand_500_500.txt;9;35.00099993;-1;-1
instRand_500_500.txt;10;35.08000016;-1;-1
instRand_50_50_1.txt;1;0.11500001;11;30
instRand_50_50_1.txt;2;0.115999937;8;27
instRand_50_50_1.txt;3;0.11500001;7;27
instRand_50_50_1.txt;4;0.101999998;6;20
instRand_50_50_1.txt;5;0.093000174;5;17
instRand_50_50_1.txt;6;0.207000017;4;13
instRand_50_50_1.txt;7;0.095000029;4;13
instRand_50_50_1.txt;8;0.078999996;3;12
instRand_50_50_1.txt;9;0.069000006;3;12
instTest.txt;1;0.015000105;130;150
instTest.txt;2;0.012000084;100;140
ga250a-3.txt;20;63.10700011;1043;1233
ga250a-3.txt;50;32.12899995;1021;1093
ga250a-4.txt;20;75.35100007;1042;1185
ga250a-5.txt;20;54.18600011;1042;1214
ga250a-5.txt;50;31.5999999;1022;1102
gs250a-3.txt;20;52.22100019;1043;1240
gs250a-3.txt;50;31.27899981;1021;1104
gs250a-5.txt;20;63.5250001;1042;1202
gs250a-5.txt;50;32.80599999;1021;1113
instRand_500_500.txt;20;34.71899986;-1;-1
