fichier;p;temps;LB*;UB*
dj38.tsp;5;2.1670000553131104;413;652
dj38.tsp;10;0.05299997329711914;296;378
dj38.tsp;20;0.03900003433227539;157;173
lu980.tsp;5;46.64900016784668;189;354
lu980.tsp;10;32.19199991226196;119;190
lu980.tsp;20;20.335000038146973;78;118
lu980.tsp;50;18.09499979019165;47;68
mu1979.tsp;5;417.9689998626709;1622;3092
mu1979.tsp;10;489.3770000934601;1158;1973
mu1979.tsp;20;366.44599986076355;744;1315
mu1979.tsp;50;241.04800009727478;379;600
qa194.tsp;5;1.2129998207092285;321;570
qa194.tsp;10;0.687999963760376;195;281
qa194.tsp;20;0.5210001468658447;126;230
qa194.tsp;50;1.441999912261963;69;105
rw1621.tsp;5;195.55299997329712;392;770
rw1621.tsp;10;242.2850000858307;278;448
rw1621.tsp;20;118.43400001525879;180;307
rw1621.tsp;50;74.59800004959106;107;167
uy734.tsp;5;40.31700015068054;1239;2084
uy734.tsp;10;27.437999963760376;844;1520
uy734.tsp;20;16.640000104904175;575;956
uy734.tsp;50;10.300999879837036;352;576
wi29.tsp;5;0.04900002479553223;1670;2470
wi29.tsp;10;0.046000003814697266;1108;1577
wi29.tsp;20;0.043000221252441406;559;620
zi929.tsp;5;63.211000204086304;1709;2789
zi929.tsp;10;32.68899989128113;1170;1987
zi929.tsp;20;23.65499997138977;806;1314
zi929.tsp;50;19.806999921798706;485;684
