fichier;p;temps;LB*;UB*;OPT
ga250a-3;1;1.1594579;1978;1978;missing
ga250a-3;2;1.0006848;1498;1910;missing
ga250a-3;3;0.7936427;1334;1784;missing
ga250a-3;4;0.7130815;1256;1638;missing
ga250a-3;5;0.642615;1209;1626;missing
ga250a-3;6;0.5512537;1173;1461;missing
ga250a-3;7;0.5077467;1148;1406;missing
ga250a-3;8;0.4827231;1129;1381;missing
ga250a-3;9;0.4341838;1113;1319;missing
ga250a-3;10;0.4284052;1103;1305;missing
ga250a-3;11;0.3866394;1094;1282;missing
ga250a-3;12;0.4320209;1086;1221;missing
ga250a-3;13;0.4139289;1081;1219;missing
ga250a-3;14;0.3947391;1074;1194;missing
ga250a-3;15;0.4010943;1070;1191;missing
ga250a-3;16;0.4029824;1066;1169;missing
ga250a-3;17;0.3652688;1062;1140;missing
ga250a-3;18;0.3719471;1060;1136;missing
ga250a-3;19;0.3833746;1057;1129;missing
ga250a-3;20;0.3612184;1054;1125;missing
ga250a-3;21;0.3556809;1051;1108;missing
ga250a-3;22;0.3536948;1050;1105;missing
ga250a-3;23;0.3438732;1048;1105;missing
ga250a-3;24;0.340627;1046;1102;missing
ga250a-3;25;0.3475348;1044;1102;missing
ga250a-3;26;0.3357528;1042;1085;missing
ga250a-3;27;0.3241852;1041;1080;missing
ga250a-3;28;0.3311067;1040;1077;missing
ga250a-3;29;0.3251337;1039;1070;missing
ga250a-3;30;0.3275075;1038;1068;missing
ga250a-3;31;0.3293608;1038;1068;missing
ga250a-3;32;0.3264742;1036;1066;missing
ga250a-3;33;0.3245503;1035;1066;missing
ga250a-3;34;0.3124828;1033;1057;missing
ga250a-3;35;0.3083142;1032;1057;missing
ga250a-3;36;0.3065903;1030;1054;missing
ga250a-3;37;0.307446;1030;1053;missing
ga250a-3;38;0.2941582;1028;1051;missing
ga250a-3;39;0.2964146;1028;1048;missing
ga250a-3;40;0.2896459;1027;1048;missing
ga250a-3;41;0.2858854;1026;1040;missing
ga250a-3;42;0.287872;1026;1039;missing
ga250a-3;43;0.2799408;1025;1037;missing
ga250a-3;44;0.2795221;1024;1037;missing
ga250a-3;45;0.2812975;1024;1037;missing
ga250a-3;46;0.2815189;1023;1035;missing
ga250a-3;47;0.2746709;1023;1034;missing
ga250a-3;48;0.2781392;1023;1034;missing
ga250a-3;49;0.254856;1022;1032;missing
ga250a-3;50;0.245456;1022;1029;missing
ga250a-3;51;0.2526058;1022;1029;missing
ga250a-3;52;0.2564899;1021;1029;missing
ga250a-3;53;0.2397053;1021;1026;missing
ga250a-3;54;0.2319217;1021;1023;missing
ga250a-4;1;1.0169945;1978;1978;missing
ga250a-4;2;0.9185611;1495;1828;missing
ga250a-4;3;0.8493387;1335;1762;missing
ga250a-4;4;0.7521453;1250;1672;missing
ga250a-4;5;0.6564921;1201;1577;missing
ga250a-4;6;0.5665708;1169;1498;missing
ga250a-4;7;0.5195556;1146;1418;missing
ga250a-4;8;0.4980066;1127;1326;missing
ga250a-4;9;0.483773;1114;1326;missing
ga250a-4;10;0.4627052;1103;1313;missing
ga250a-4;11;0.4497427;1094;1264;missing
ga250a-4;12;0.449657;1086;1254;missing
ga250a-4;13;0.3936101;1080;1251;missing
ga250a-4;14;0.4431447;1075;1194;missing
ga250a-4;15;0.415814;1070;1190;missing
ga250a-4;16;0.3767445;1065;1154;missing
ga250a-4;17;0.3806663;1061;1138;missing
ga250a-4;18;0.3898846;1059;1138;missing
ga250a-4;19;0.3853113;1056;1125;missing
ga250a-4;20;0.3575283;1054;1109;missing
ga250a-4;21;0.3531973;1051;1109;missing
ga250a-4;22;0.3515829;1050;1106;missing
ga250a-4;23;0.3562654;1048;1106;missing
ga250a-4;24;0.3657754;1047;1106;missing
ga250a-4;25;0.3525042;1045;1077;missing
ga250a-4;26;0.342206;1043;1075;missing
ga250a-4;27;0.3320742;1042;1075;missing
ga250a-4;28;0.3310609;1040;1072;missing
ga250a-4;29;0.325171;1038;1069;missing
ga250a-4;30;0.3067948;1038;1059;missing
ga250a-4;31;0.3064933;1037;1059;missing
ga250a-4;32;0.3100456;1035;1059;missing
ga250a-4;33;0.2935951;1034;1056;missing
ga250a-4;34;0.3011012;1033;1054;missing
ga250a-4;35;0.3007006;1033;1054;missing
ga250a-4;36;0.2837066;1032;1050;missing
ga250a-4;37;0.2967499;1032;1047;missing
ga250a-4;38;0.2723954;1030;1047;missing
ga250a-4;39;0.2732688;1029;1047;missing
ga250a-4;40;0.2702297;1028;1047;missing
ga250a-4;41;0.2707236;1028;1043;missing
ga250a-4;42;0.2696437;1028;1039;missing
ga250a-5;1;1.0830448;1979;1979;missing
ga250a-5;2;1.0323757;1498;1885;missing
ga250a-5;3;0.8921922;1336;1793;missing
ga250a-5;4;0.771855;1258;1718;missing
ga250a-5;5;0.648662;1204;1586;missing
ga250a-5;6;0.5892043;1168;1531;missing
ga250a-5;7;0.5264437;1144;1425;missing
ga250a-5;8;0.5211422;1127;1377;missing
ga250a-5;9;0.5090269;1112;1352;missing
ga250a-5;10;0.4316849;1102;1279;missing
ga250a-5;11;0.4219558;1093;1250;missing
ga250a-5;12;0.398818;1087;1215;missing
ga250a-5;13;0.425431;1080;1213;missing
ga250a-5;14;0.3999117;1073;1210;missing
ga250a-5;15;0.3765295;1069;1147;missing
ga250a-5;16;0.3851027;1065;1147;missing
ga250a-5;17;0.3606649;1062;1141;missing
ga250a-5;18;0.3843549;1059;1141;missing
ga250a-5;19;0.3669668;1056;1140;missing
ga250a-5;20;0.3454371;1052;1108;missing
ga250a-5;21;0.3492942;1050;1096;missing
ga250a-5;22;0.3469956;1048;1096;missing
ga250a-5;23;0.3482735;1046;1096;missing
